timestamp,trace_id,event,event_index,anomaly
2025-06-21 18:05:11,trace_0,init,0,0
2025-06-21 18:05:14,trace_0,load_config,1,0
2025-06-21 18:05:16,trace_0,connect_db,2,0
2025-06-21 18:05:18,trace_0,query,3,0
2025-06-21 18:05:20,trace_0,process,4,0
2025-06-21 18:05:21,trace_0,write_output,5,0
2025-06-21 18:05:26,trace_0,cleanup,6,0
2025-06-21 18:05:11,trace_1,init,0,1
2025-06-21 18:05:12,trace_1,load_config,1,1
2025-06-21 18:05:49,trace_1,connect_db,2,1
2025-06-21 18:05:54,trace_1,query,3,1
2025-06-21 18:05:59,trace_1,process,4,1
2025-06-21 18:06:00,trace_1,write_output,5,1
2025-06-21 18:06:05,trace_1,cleanup,6,1
2025-06-21 18:05:14,trace_2,init,0,1
2025-06-21 18:05:19,trace_2,load_config,1,1
2025-06-21 18:05:22,trace_2,connect_db,2,1
2025-06-21 18:06:16,trace_2,query,3,1
2025-06-21 18:06:18,trace_2,process,4,1
2025-06-21 18:06:22,trace_2,write_output,5,1
2025-06-21 18:06:25,trace_2,cleanup,6,1
2025-06-21 18:05:12,trace_3,init,0,0
2025-06-21 18:05:15,trace_3,load_config,1,0
2025-06-21 18:05:16,trace_3,connect_db,2,0
2025-06-21 18:05:17,trace_3,query,3,0
2025-06-21 18:05:21,trace_3,process,4,0
2025-06-21 18:05:22,trace_3,write_output,5,0
2025-06-21 18:05:25,trace_3,cleanup,6,0
2025-06-21 18:05:15,trace_4,init,0,0
2025-06-21 18:05:18,trace_4,load_config,1,0
2025-06-21 18:05:19,trace_4,connect_db,2,0
2025-06-21 18:05:23,trace_4,query,3,0
2025-06-21 18:05:28,trace_4,process,4,0
2025-06-21 18:05:29,trace_4,write_output,5,0
2025-06-21 18:05:33,trace_4,cleanup,6,0
2025-06-21 18:05:13,trace_5,init,0,1
2025-06-21 18:05:18,trace_5,load_config,1,1
2025-06-21 18:05:20,trace_5,connect_db,2,1
2025-06-21 18:05:21,trace_5,query,3,1
2025-06-21 18:05:22,trace_5,process,4,1
2025-06-21 18:05:24,trace_5,cleanup,5,1
2025-06-21 18:05:11,trace_6,init,0,0
2025-06-21 18:05:13,trace_6,load_config,1,0
2025-06-21 18:05:14,trace_6,connect_db,2,0
2025-06-21 18:05:18,trace_6,query,3,0
2025-06-21 18:05:21,trace_6,process,4,0
2025-06-21 18:05:25,trace_6,write_output,5,0
2025-06-21 18:05:28,trace_6,cleanup,6,0
2025-06-21 18:05:13,trace_7,init,0,1
2025-06-21 18:05:14,trace_7,load_config,1,1
2025-06-21 18:05:19,trace_7,query,2,1
2025-06-21 18:05:21,trace_7,process,3,1
2025-06-21 18:05:26,trace_7,write_output,4,1
2025-06-21 18:05:28,trace_7,cleanup,5,1
2025-06-21 18:05:15,trace_8,init,0,1
2025-06-21 18:05:17,trace_8,load_config,1,1
2025-06-21 18:05:20,trace_8,connect_db,2,1
2025-06-21 18:05:21,trace_8,query,3,1
2025-06-21 18:06:17,trace_8,process,4,1
2025-06-21 18:06:18,trace_8,write_output,5,1
2025-06-21 18:06:21,trace_8,cleanup,6,1
2025-06-21 18:05:11,trace_9,init,0,0
2025-06-21 18:05:13,trace_9,load_config,1,0
2025-06-21 18:05:18,trace_9,connect_db,2,0
2025-06-21 18:05:21,trace_9,query,3,0
2025-06-21 18:05:23,trace_9,process,4,0
2025-06-21 18:05:27,trace_9,write_output,5,0
2025-06-21 18:05:31,trace_9,cleanup,6,0
2025-06-21 18:05:14,trace_10,init,0,0
2025-06-21 18:05:16,trace_10,load_config,1,0
2025-06-21 18:05:19,trace_10,connect_db,2,0
2025-06-21 18:05:21,trace_10,query,3,0
2025-06-21 18:05:23,trace_10,process,4,0
2025-06-21 18:05:28,trace_10,write_output,5,0
2025-06-21 18:05:33,trace_10,cleanup,6,0
2025-06-21 18:05:15,trace_11,init,0,0
2025-06-21 18:05:19,trace_11,load_config,1,0
2025-06-21 18:05:24,trace_11,connect_db,2,0
2025-06-21 18:05:28,trace_11,query,3,0
2025-06-21 18:05:31,trace_11,process,4,0
2025-06-21 18:05:33,trace_11,write_output,5,0
2025-06-21 18:05:35,trace_11,cleanup,6,0
2025-06-21 18:05:11,trace_12,init,0,0
2025-06-21 18:05:12,trace_12,load_config,1,0
2025-06-21 18:05:13,trace_12,connect_db,2,0
2025-06-21 18:05:15,trace_12,query,3,0
2025-06-21 18:05:17,trace_12,process,4,0
2025-06-21 18:05:21,trace_12,write_output,5,0
2025-06-21 18:05:26,trace_12,cleanup,6,0
2025-06-21 18:05:15,trace_13,init,0,1
2025-06-21 18:05:18,trace_13,load_config,1,1
2025-06-21 18:05:23,trace_13,connect_db,2,1
2025-06-21 18:05:24,trace_13,query,3,1
2025-06-21 18:05:25,trace_13,process,4,1
2025-06-21 18:06:19,trace_13,write_output,5,1
2025-06-21 18:06:22,trace_13,cleanup,6,1
2025-06-21 18:05:13,trace_14,init,0,0
2025-06-21 18:05:14,trace_14,load_config,1,0
2025-06-21 18:05:17,trace_14,connect_db,2,0
2025-06-21 18:05:21,trace_14,query,3,0
2025-06-21 18:05:23,trace_14,process,4,0
2025-06-21 18:05:27,trace_14,write_output,5,0
2025-06-21 18:05:28,trace_14,cleanup,6,0
2025-06-21 18:05:13,trace_15,init,0,0
2025-06-21 18:05:18,trace_15,load_config,1,0
2025-06-21 18:05:20,trace_15,connect_db,2,0
2025-06-21 18:05:25,trace_15,query,3,0
2025-06-21 18:05:26,trace_15,process,4,0
2025-06-21 18:05:29,trace_15,write_output,5,0
2025-06-21 18:05:34,trace_15,cleanup,6,0
2025-06-21 18:05:12,trace_16,init,0,0
2025-06-21 18:05:15,trace_16,load_config,1,0
2025-06-21 18:05:17,trace_16,connect_db,2,0
2025-06-21 18:05:22,trace_16,query,3,0
2025-06-21 18:05:27,trace_16,process,4,0
2025-06-21 18:05:28,trace_16,write_output,5,0
2025-06-21 18:05:33,trace_16,cleanup,6,0
2025-06-21 18:05:11,trace_17,init,0,0
2025-06-21 18:05:12,trace_17,load_config,1,0
2025-06-21 18:05:15,trace_17,connect_db,2,0
2025-06-21 18:05:18,trace_17,query,3,0
2025-06-21 18:05:20,trace_17,process,4,0
2025-06-21 18:05:21,trace_17,write_output,5,0
